summary,L1,L2,L3,L4,L5
Drag and drop of learning design zip file not working,Capability,Usability,Capability,Capability,Capability
Error Launching Compendium LD after install,Installability,Reliability,Installability,Installability,Installability
Multiple column Arrange for map of unlinked nodes.,Requirements,Requirements,Usability,Requirements,Requirements
Facility to assign node icon sets on a per map basis,Requirements,Requirements,Usability,Requirements,Requirements
Spell Checker,Requirements,Requirements,Requirements,Requirements,Requirements
Periodically: clicking on a link does not allow one to add a link label,Capability,Usability,Capability,Capability,Reliability
Need progress bar when inserting large search results into a map or list,Requirements,Usability,Requirements,Requirements,Requirements
A little note about the Mac equivalent to right-click which is used to connec...,Documentation,Documentation,Usability,Documentation,Documentation
"""Put in view"" -- select node(s)  get pick list of views to",Requirements,Usability,Usability,Requirements,Requirements
Can small icons work with images also? Make small images?,Requirements,Requirements,Usability,Requirements,Capability
Text find/replace,Requirements,Usability,Usability,Requirements,Requirements
Label left/right/center alignment node-specific formatting option,Usability,Usability,Usability,Requirements,Usability
Blank lines (newlines) in labels not showing on Map,Capability,Requirements,Usability,Usability,Capability
Group nodes for the purpose of Align,Requirements,Usability,Usability,Usability,Requirements
Have node image rollover settings be node-specific,Requirements,Requirements,Usability,Requirements,Requirements
Drag Maps between projects,Requirements,Requirements,Usability,Requirements,Requirements
Annotation layer,Requirements,Usability,Usability,Requirements,Requirements
Shortcut to create lists of nodes,Usability,Usability,Usability,Capability,Requirements
Other tree views apart from Node,Requirements,Usability,Requirements,Requirements,Requirements
Modification to Export dialogs for full depth availability,Usability,Usability,Usability,Usability,Requirements
Visual feedback on pressing Scribble save button,Usability,Usability,Capability,Usability,Requirements
Give print option to turn off printing background image or colour.,Usability,Requirements,Capability,Requirements,Requirements
prioritize or rank nodes,Requirements,Requirements,Capability,Requirements,Requirements
Drag and drop a url into a map then click in the map (not on the new node)  a...,Capability,Usability,Capability,Usability,Requirements
Icon Library,Requirements,Requirements,Requirements,Requirements,Requirements
"Have a ""no background"" option for node labels",Usability,Usability,Usability,Capability,Requirements
Formatting nodes to reflect action / occurrence,Usability,Usability,Usability,Requirements,Requirements
Text Inside of Stencils,Usability,Requirements,Usability,Requirements,Requirements
URL links could use favicon.ico by default,Usability,Requirements,Usability,Requirements,Requirements
Tablet PC Support,Usability,Capability,Capability,Capability,Migration
Ability to populate many reference node images/references in one go,Usability,Usability,Usability,Requirements,Requirements
Keyboard shortcut for toggling image rollover on and off,Usability,Usability,Usability,Usability,Usability
Make the Web Maps tooltips optional,Usability,Usability,Usability,Requirements,Requirements
Link label positioning needs to be more flexible.,Usability,Usability,Usability,Usability,Requirements
Image rollover -- be able to scroll large images,Requirements,Requirements,Usability,Requirements,Requirements
Improved support for turning a node (with subtree) into a map node that conta...,Usability,Usability,Usability,Usability,Usability
smartboard,Requirements,Requirements,Usability,Requirements,Requirements
Text analyzer,Requirements,Requirements,Usability,Requirements,Requirements
Excel integration,Requirements,Requirements,Usability,Requirements,Requirements
Visio integration,Requirements,Requirements,Usability,Requirements,Requirements
Windows Office integration,Requirements,Requirements,Usability,Requirements,Requirements
AutoWiki,Requirements,Requirements,Requirements,Requirements,Requirements
Mighty Mouse wheel scrolls up and down but not right/left,Usability,Usability,Usability,Capability,Usability
Content focus lost when switching applications,Usability,Usability,Usability,Usability,Usability
Bug when pasting to new Activity map using MySql,Reliability,Capability,Usability,Reliability,Reliability
Scaling view disturbs alignment of nodes which have been aligned to centre (o...,Usability,Capability,Usability,Reliability,Capability
more verbose message for error message on start if database could not be started,Reliability,Documentation,Usability,Usability,Reliability
HTML Outline export order,Requirements,Requirements,Capability,Capability,Requirements
Change search dialog date fields to use drop-down boxes,Requirements,Usability,Usability,Usability,Usability
Ability to search on Link labels,Requirements,Requirements,Usability,Requirements,Requirements
Search toolbar with google style quick search for key word/s,Usability,Usability,Usability,Usability,Requirements
Problem with node labels drawing one line too far down with hightlighting ove...,Usability,Capability,Usability,Usability,Capability
Can't quit Compendium,Reliability,Capability,Usability,Reliability,Capability
Label Text on right of node - label positioning options,Usability,Usability,Usability,Usability,Requirements
Search across databases,Requirements,Usability,Usability,Requirements,Requirements
show max info on shared display,Requirements,Requirements,Usability,Requirements,Requirements
Slow performance pasting multiple map nodes,Performance,Performance,Usability,Performance,Performance
Change the way link arrows are drawn for drag and drop,Usability,Capability,Usability,Capability,Usability
Undo for label color change.,Requirements,Requirements,Usability,Requirements,Requirements
Ability to easily add custom headers and footers (as Includes?) to all HTML e...,Requirements,Requirements,Usability,Requirements,Requirements
Create an node align / arrange toolbar,Requirements,Requirements,Usability,Requirements,Requirements
Slider features controlling view history of maps,Usability,Usability,Usability,Requirements,Requirements
HTML launching images code,Usability,Usability,Usability,Usability,Usability
Dropping Stencil icon on another node should change icon image to stencil image.,Usability,Usability,Usability,Capability,Usability
Docking map windows,Requirements,Requirements,Requirements,Requirements,Requirements
Ability to set the default project from the Project Management Dialog.,Usability,Usability,Usability,Usability,Requirements
Ability to open a Project from the Project Management Dialog,Usability,Requirements,Usability,Usability,Requirements
Preseve node selection after right-click menu actions,Usability,Capability,Requirements,Usability,Usability
More options when pasting a node into a view it is already in.,Usability,Requirements,Requirements,Usability,Requirements
In the Search dialog  it would be good to have a text listing of the search c...,Usability,Usability,Requirements,Requirements,Requirements
Option in Web Export to not show page dates in the details window,Usability,Requirements,Requirements,Requirements,Usability
The ability to export to a file format that is importable by Excel 2000.,Requirements,Requirements,Migration,Requirements,Requirements
Search should preserve your original values between goes,Usability,Usability,Requirements,Capability,Usability
Reference nodes that use images could have a link indicator,Usability,Usability,Requirements,Usability,Usability
Importing outlines,Requirements,Requirements,Requirements,Requirements,Requirements
You cut or copy a node and it won't paste,Reliability,Capability,Capability,Capability,Reliability
Be able to drag an image from a folder into any node to make it an image-node,Usability,Requirements,Requirements,Usability,Requirements
Have hourglass or other indicator when first opening Login to a Project dialogue,Usability,Usability,Requirements,Requirements,Usability
Produce reports via a number of options for example Open Office  MS > Word  A...,Requirements,Requirements,Requirements,Requirements,Requirements
Mac kb shortcuts,Usability,Standards,Usability,Usability,Requirements
