summary,Label L2
Drag and drop of learning design zip file not working,0
Error Launching Compendium LD after install,0
Multiple column Arrange for map of unlinked nodes.,0
Facility to assign node icon sets on a per map basis,0
Spell Checker,0
Periodically: clicking on a link does not allow one to add a link label,0
Need progress bar when inserting large search results into a map or list,0
A little note about the Mac equivalent to right-click which is used to connec...,0
"""Put in view"" -- select node(s)  get pick list of views to",0
Can small icons work with images also? Make small images?,0
Text find/replace,0
Label left/right/center alignment node-specific formatting option,0
Blank lines (newlines) in labels not showing on Map,0
Group nodes for the purpose of Align,0
Have node image rollover settings be node-specific,0
Drag Maps between projects,0
Annotation layer,0
Shortcut to create lists of nodes,0
Other tree views apart from Node,0
Modification to Export dialogs for full depth availability,0
Visual feedback on pressing Scribble save button,0
Give print option to turn off printing background image or colour.,0
prioritize or rank nodes,0
Drag and drop a url into a map then click in the map (not on the new node)  a...,0
Icon Library,0
"Have a ""no background"" option for node labels",0
Formatting nodes to reflect action / occurrence,0
Text Inside of Stencils,0
URL links could use favicon.ico by default,0
Tablet PC Support,0
Ability to populate many reference node images/references in one go,0
Keyboard shortcut for toggling image rollover on and off,0
Make the Web Maps tooltips optional,0
Link label positioning needs to be more flexible.,0
Image rollover -- be able to scroll large images,0
Improved support for turning a node (with subtree) into a map node that conta...,0
smartboard,0
Text analyzer,0
Excel integration,0
Visio integration,0
Windows Office integration,0
AutoWiki,0
Mighty Mouse wheel scrolls up and down but not right/left,0
Content focus lost when switching applications,0
Bug when pasting to new Activity map using MySql,0
Scaling view disturbs alignment of nodes which have been aligned to centre (o...,0
more verbose message for error message on start if database could not be started,0
HTML Outline export order,0
Change search dialog date fields to use drop-down boxes,0
Ability to search on Link labels,0
Search toolbar with google style quick search for key word/s,0
Problem with node labels drawing one line too far down with hightlighting ove...,0
Can't quit Compendium,0
Label Text on right of node - label positioning options,0
Search across databases,0
show max info on shared display,0
Slow performance pasting multiple map nodes,0
Change the way link arrows are drawn for drag and drop,0
Undo for label color change.,0
Ability to easily add custom headers and footers (as Includes?) to all HTML e...,0
Create an node align / arrange toolbar,0
